\xF0\x9F\x8F\xAB,SCHOOL
\xF0\x9F\x8F\xAC,DEPARTMENT STORE
\xF0\x9F\x8C\x8A,WATER WAVE
\xF0\x9F\x8C\x8B,VOLCANO
\xF0\x9F\x8C\x8C,MILKY WAY
\xF0\x9F\x8C\x8D,EARTH GLOBE EUROPE-AFRICA
\xF0\x9F\x85\xBE,NEGATIVE SQUARED LATIN CAPITAL LETTER O
\xF0\x9F\x85\xBF,NEGATIVE SQUARED LATIN CAPITAL LETTER P
\xF0\x9F\x98\xA9,WEARY FACE
\xF0\x9F\x98\xA8,FEARFUL FACE
\xF0\x9F\x98\xA3,PERSEVERING FACE
\xF0\x9F\x98\xA2,CRYING FACE
\xF0\x9F\x98\xA1,POUTING FACE
\xF0\x9F\x98\xA0,ANGRY FACE
\xF0\x9F\x93\x87,CARD INDEX
\xF0\x9F\x93\x86,TEAR-OFF CALENDAR
\xF0\x9F\x98\xA5,DISAPPOINTED BUT RELIEVED FACE
\xF0\x9F\x98\xA4,FACE WITH LOOK OF TRIUMPH
\xF0\x9F\x98\x8A,SMILING FACE WITH SMILING EYES
\xF0\x9F\x98\x8B,FACE SAVOURING DELICIOUS FOOD
\xF0\x9F\x98\x8C,RELIEVED FACE
\xF0\x9F\x98\x8D,SMILING FACE WITH HEART-SHAPED EYES
\xF0\x9F\x93\xAE,POSTBOX
\xF0\x9F\x98\x8F,SMIRKING FACE
\xF0\x9F\x95\xA5,CLOCK FACE TEN-THIRTY
\xF0\x9F\x91\x85,TONGUE
\xF0\x9F\x94\x9E,NO ONE UNDER EIGHTEEN SYMBOL
\x30\xE2\x83\xA3,DIGIT ZERO + COMBINING ENCLOSING KEYCAP
\xF0\x9F\x94\x9C,SOON WITH RIGHTWARDS ARROW ABOVE
\xF0\x9F\x87\xAE\xF0\x9F\x87\xB9,REGIONAL INDICATOR SYMBOL LETTER I + REGIONAL INDICATOR SYMBOL LETTER T
\xF0\x9F\x94\x9A,END WITH LEFTWARDS ARROW ABOVE
\xF0\x9F\x91\x84,MOUTH
\xF0\x9F\x9A\xA6,VERTICAL TRAFFIC LIGHT
\xF0\x9F\x8C\x98,WANING CRESCENT MOON SYMBOL
\xF0\x9F\x9A\xBD,TOILET
\xF0\x9F\x8D\x99,RICE BALL
\xF0\x9F\x8C\x8E,EARTH GLOBE AMERICAS
\xF0\x9F\x93\xA0,FAX MACHINE
\xF0\x9F\x98\x81,GRINNING FACE WITH SMILING EYES
\xF0\x9F\x98\x82,FACE WITH TEARS OF JOY
\xF0\x9F\x98\x83,SMILING FACE WITH OPEN MOUTH
\xF0\x9F\x98\x84,SMILING FACE WITH OPEN MOUTH AND SMILING EYES
\xF0\x9F\x98\x85,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT
\xF0\x9F\x98\x86,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES
\xF0\x9F\x93\xA7,E-MAIL SYMBOL
\xF0\x9F\x93\xA8,INCOMING ENVELOPE
\xF0\x9F\x98\x89,WINKING FACE
\xF0\x9F\x94\x95,BELL WITH CANCELLATION STROKE
\xF0\x9F\x93\x8B,CLIPBOARD
\xF0\x9F\x94\x93,OPEN LOCK
\xF0\x9F\x94\x92,LOCK
\xF0\x9F\x94\x91,KEY
\xF0\x9F\x94\x90,CLOSED LOCK WITH KEY
\xF0\x9F\x8C\x90,GLOBE WITH MERIDIANS
\xF0\x9F\x93\x8C,PUSHPIN
\xF0\x9F\x98\xAB,TIRED FACE
\xF0\x9F\x98\xAA,SLEEPY FACE
\xF0\x9F\x93\x89,CHART WITH DOWNWARDS TREND
\xF0\x9F\x93\x8E,PAPERCLIP
\xF0\x9F\x98\xAD,LOUDLY CRYING FACE
\xF0\x9F\x8C\x88,RAINBOW
\xF0\x9F\x8C\x89,BRIDGE AT NIGHT
\xF0\x9F\x93\x88,CHART WITH UPWARDS TREND
\xF0\x9F\x97\xBD,STATUE OF LIBERTY
\xF0\x9F\x85\xB0,NEGATIVE SQUARED LATIN CAPITAL LETTER A
\xF0\x9F\x85\xB1,NEGATIVE SQUARED LATIN CAPITAL LETTER B
\xF0\x9F\x8C\x82,CLOSED UMBRELLA
\xF0\x9F\x8C\x83,NIGHT WITH STARS
\xF0\x9F\x8C\x84,SUNRISE OVER MOUNTAINS
\xF0\x9F\x8C\x85,SUNRISE
\xF0\x9F\x8C\x86,CITYSCAPE AT DUSK
\xF0\x9F\x8C\x87,SUNSET OVER BUILDINGS
\xF0\x9F\x8E\xB8,GUITAR
\xF0\x9F\x8E\xB9,MUSICAL KEYBOARD
\xF0\x9F\x8E\xB0,SLOT MACHINE
\xF0\x9F\x8E\xB1,BILLIARDS
\xF0\x9F\x8E\xB2,GAME DIE
\xE2\x9A\x93,ANCHOR
\xF0\x9F\x8E\xB4,FLOWER PLAYING CARDS
\xF0\x9F\x8E\xB5,MUSICAL NOTE
\xF0\x9F\x8E\xB6,MULTIPLE MUSICAL NOTES
\xF0\x9F\x8E\xB7,SAXOPHONE
\xE2\x8C\x9A,WATCH
\xE2\x86\xAA,RIGHTWARDS ARROW WITH HOOK
\xF0\x9F\x92\xA0,DIAMOND SHAPE WITH A DOT INSIDE
\xE2\x8C\x9B,HOURGLASS
\xF0\x9F\x87\xAC\xF0\x9F\x87\xA7,REGIONAL INDICATOR SYMBOL LETTER G + REGIONAL INDICATOR SYMBOL LETTER B
\xC2\xAE,REGISTERED SIGN
\xF0\x9F\x93\x82,OPEN FILE FOLDER
\xF0\x9F\x95\x9B,CLOCK FACE TWELVE OCLOCK
\xF0\x9F\x95\x9C,CLOCK FACE ONE-THIRTY
\xF0\x9F\x95\xA1,CLOCK FACE SIX-THIRTY
\xF0\x9F\x95\x93,CLOCK FACE FOUR OCLOCK
\xF0\x9F\x95\x9F,CLOCK FACE FOUR-THIRTY
\xF0\x9F\x93\x81,FILE FOLDER
\xF0\x9F\x95\x9D,CLOCK FACE TWO-THIRTY
\xF0\x9F\x95\x9E,CLOCK FACE THREE-THIRTY
\xF0\x9F\x92\x8B,KISS MARK
\xF0\x9F\x92\x8C,LOVE LETTER
\xF0\x9F\x92\x8A,PILL
\xF0\x9F\x8D\xB9,TROPICAL DRINK
\xF0\x9F\x8D\xB8,COCKTAIL GLASS
\xF0\x9F\x92\x8D,RING
\xF0\x9F\x92\x8E,GEM STONE
\xF0\x9F\x8D\xB5,TEACUP WITHOUT HANDLE
\xF0\x9F\x8D\xB4,FORK AND KNIFE
\xF0\x9F\x8D\xB7,WINE GLASS
\xF0\x9F\x8D\xB6,SAKE BOTTLE AND CUP
\xF0\x9F\x8D\xB1,BENTO BOX
\xF0\x9F\x8D\xB0,SHORTCAKE
\xE2\x9C\xA8,SPARKLES
\xF0\x9F\x8D\xB2,POT OF FOOD
\xF0\x9F\x93\x85,CALENDAR
\xF0\x9F\x95\x90,CLOCK FACE ONE OCLOCK
\xF0\x9F\x98\x87,SMILING FACE WITH HALO
\xF0\x9F\x93\x84,PAGE FACING UP
\xF0\x9F\x93\xAA,CLOSED MAILBOX WITH LOWERED FLAG
\xF0\x9F\x93\xAB,CLOSED MAILBOX WITH RAISED FLAG
\xF0\x9F\x92\x82,GUARDSMAN
\xF0\x9F\x92\x83,DANCER
\xF0\x9F\x92\x80,SKULL
\xF0\x9F\x92\x81,INFORMATION DESK PERSON
\xF0\x9F\x92\x86,FACE MASSAGE
\xF0\x9F\x92\x87,HAIRCUT
\xF0\x9F\x92\x84,LIPSTICK
\xF0\x9F\x92\x85,NAIL POLISH
\xF0\x9F\x98\x88,SMILING FACE WITH HORNS
\xF0\x9F\x93\xAD,OPEN MAILBOX WITH LOWERED FLAG
\xF0\x9F\x92\x88,BARBER POLE
\xF0\x9F\x92\x89,SYRINGE
\xF0\x9F\x8D\xBA,BEER MUG
\xF0\x9F\x90\x8B,WHALE
\xF0\x9F\x8D\xBC,BABY BOTTLE
\xF0\x9F\x8D\xBB,CLINKING BEER MUGS
\xF0\x9F\x95\x98,CLOCK FACE NINE OCLOCK
\xF0\x9F\x90\x8C,SNAIL
\xE2\x96\xAB,WHITE SMALL SQUARE
\xE2\x96\xAA,BLACK SMALL SQUARE
\xF0\x9F\x95\x92,CLOCK FACE THREE OCLOCK
\xC2\xA9,COPYRIGHT SIGN
\xE2\x97\xBE,BLACK MEDIUM SMALL SQUARE
\xE2\x97\xBD,WHITE MEDIUM SMALL SQUARE
\xE2\x97\xBC,BLACK MEDIUM SQUARE
\xE2\x97\xBB,WHITE MEDIUM SQUARE
\xF0\x9F\x95\x94,CLOCK FACE FIVE OCLOCK
\xF0\x9F\x95\x95,CLOCK FACE SIX OCLOCK
\xF0\x9F\x93\x83,PAGE WITH CURL
\xF0\x9F\x94\x9F,KEYCAP TEN
\xF0\x9F\x8E\xBA,TRUMPET
\xF0\x9F\x87\xB7\xF0\x9F\x87\xBA,REGIONAL INDICATOR SYMBOL LETTER R + REGIONAL INDICATOR SYMBOL LETTER U
\xF0\x9F\x8E\xBC,MUSICAL SCORE
\xF0\x9F\x8E\xBD,RUNNING SHIRT WITH SASH
\xF0\x9F\x8E\xBE,TENNIS RACQUET AND BALL
\xF0\x9F\x8E\xBF,SKI AND SKI BOOT
\x33\xE2\x83\xA3,DIGIT THREE + COMBINING ENCLOSING KEYCAP
\xF0\x9F\x94\x9D,TOP WITH UPWARDS ARROW ABOVE
\xF0\x9F\x98\xA7,ANGUISHED FACE
\xF0\x9F\x94\x9B,ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE
\xE3\x8A\x97,CIRCLED IDEOGRAPH CONGRATULATION
\xE3\x8A\x99,CIRCLED IDEOGRAPH SECRET
\xF0\x9F\x9A\x9E,MOUNTAIN RAILWAY
\xF0\x9F\x91\x9C,HANDBAG
\xF0\x9F\x91\x8A,FISTED HAND SIGN
\xF0\x9F\x91\x8C,OK HAND SIGN
\xF0\x9F\x91\x8B,WAVING HAND SIGN
\xF0\x9F\x91\x8E,THUMBS DOWN SIGN
\xF0\x9F\x91\x8D,THUMBS UP SIGN
\xF0\x9F\x91\x8F,CLAPPING HANDS SIGN
\xE2\x98\x81,CLOUD
\xF0\x9F\x94\x96,BOOKMARK
\xF0\x9F\x8C\x9E,SUN WITH FACE
\xF0\x9F\x98\x9B,FACE WITH STUCK-OUT TONGUE
\xF0\x9F\x98\x9A,KISSING FACE WITH CLOSED EYES
\xF0\x9F\x91\x89,WHITE RIGHT POINTING BACKHAND INDEX
\xF0\x9F\x91\x88,WHITE LEFT POINTING BACKHAND INDEX
\xF0\x9F\x91\x80,EYES
\xF0\x9F\x91\x83,NOSE
\xF0\x9F\x91\x82,EAR
\xF0\x9F\x89\x91,CIRCLED IDEOGRAPH ACCEPT
\xF0\x9F\x89\x90,CIRCLED IDEOGRAPH ADVANTAGE
\xF0\x9F\x91\x87,WHITE DOWN POINTING BACKHAND INDEX
\xF0\x9F\x91\x86,WHITE UP POINTING BACKHAND INDEX
\xF0\x9F\x95\xA2,CLOCK FACE SEVEN-THIRTY
\xF0\x9F\x9A\x88,LIGHT RAIL
\xF0\x9F\x92\xAE,WHITE FLOWER
\xF0\x9F\x92\xAD,THOUGHT BALLOON
\xF0\x9F\x92\xAF,HUNDRED POINTS SYMBOL
\xF0\x9F\x92\xAA,FLEXED BICEPS
\xF0\x9F\x92\xAC,SPEECH BALLOON
\xF0\x9F\x92\xAB,DIZZY SYMBOL
\xF0\x9F\x8D\xAD,LOLLIPOP
\xF0\x9F\x8D\xAE,CUSTARD
\xF0\x9F\x8D\xAF,HONEY POT
\xF0\x9F\x8D\xAA,COOKIE
\xF0\x9F\x8D\xAB,CHOCOLATE BAR
\xF0\x9F\x8D\xAC,CANDY
\xF0\x9F\x94\xBB,DOWN-POINTING RED TRIANGLE
\xF0\x9F\x94\xBC,UP-POINTING SMALL RED TRIANGLE
\xF0\x9F\x8D\x9C,STEAMING BOWL
\xF0\x9F\x94\xBD,DOWN-POINTING SMALL RED TRIANGLE
\xE2\x9B\x94,NO ENTRY
\xE2\x99\x90,SAGITTARIUS
\xE2\x99\x91,CAPRICORN
\xE2\x99\x92,AQUARIUS
\xE2\x99\x93,PISCES
\xF0\x9F\x90\xA7,PENGUIN
\xF0\x9F\x90\xA6,BIRD
\xF0\x9F\x90\xA5,FRONT-FACING BABY CHICK
\xF0\x9F\x90\xA4,BABY CHICK
\xF0\x9F\x8E\x91,MOON VIEWING CEREMONY
\xE2\x9B\xB2,FOUNTAIN
\xF0\x9F\x8E\x93,GRADUATION CAP
\xF0\x9F\x8E\x92,SCHOOL SATCHEL
\xE2\x9B\xB3,FLAG IN HOLE
\xF0\x9F\x87\xA9\xF0\x9F\x87\xAA,REGIONAL INDICATOR SYMBOL LETTER D + REGIONAL INDICATOR SYMBOL LETTER E
\xF0\x9F\x90\xA3,HATCHING CHICK
\xF0\x9F\x90\xA2,TURTLE
\xE2\x9C\x96,HEAVY MULTIPLICATION X
\xE2\x9C\x94,HEAVY CHECK MARK
\xE2\x9C\x92,BLACK NIB
\xF0\x9F\x90\xA1,BLOWFISH
\xF0\x9F\x90\xAC,DOLPHIN
\xF0\x9F\x90\xAB,BACTRIAN CAMEL
\xE2\x84\xB9,INFORMATION SOURCE
\xF0\x9F\x90\xA0,TROPICAL FISH
\xF0\x9F\x90\xAF,TIGER FACE
\xF0\x9F\x90\xAE,COW FACE
\xF0\x9F\x90\xAD,MOUSE FACE
\xF0\x9F\x91\x94,NECKTIE
\xE2\xA4\xB4,ARROW POINTING RIGHTWARDS THEN CURVING UPWARDS
\xE2\x9A\xBD,SOCCER BALL
\xF0\x9F\x8D\xA4,FRIED SHRIMP
\xF0\x9F\x8D\xA5,FISH CAKE WITH SWIRL DESIGN
\xF0\x9F\x8D\xA6,SOFT ICE CREAM
\xF0\x9F\x8D\xA7,SHAVED ICE
\xF0\x9F\x8D\xA0,ROASTED SWEET POTATO
\xF0\x9F\x8D\xA1,DANGO
\xF0\x9F\x8D\xA2,ODEN
\xF0\x9F\x8D\xA3,SUSHI
\xF0\x9F\x94\xB2,BLACK SQUARE BUTTON
\xF0\x9F\x94\xB3,WHITE SQUARE BUTTON
\xF0\x9F\x94\xB0,JAPANESE SYMBOL FOR BEGINNER
\xF0\x9F\x94\xB1,TRIDENT EMBLEM
\xF0\x9F\x8D\xA8,ICE CREAM
\xF0\x9F\x8D\xA9,DOUGHNUT
\xF0\x9F\x94\xB4,LARGE RED CIRCLE
\xF0\x9F\x94\xB5,LARGE BLUE CIRCLE
\xF0\x9F\x93\xA3,CHEERING MEGAPHONE
\xE2\xAC\x85,LEFTWARDS BLACK ARROW
\xF0\x9F\x92\xA8,DASH SYMBOL
\xE2\xAC\x87,DOWNWARDS BLACK ARROW
\xE2\xAC\x86,UPWARDS BLACK ARROW
\xF0\x9F\x92\xA5,COLLISION SYMBOL
\xF0\x9F\x87\xAB\xF0\x9F\x87\xB7,REGIONAL INDICATOR SYMBOL LETTER F + REGIONAL INDICATOR SYMBOL LETTER R
\xF0\x9F\x92\xA7,DROPLET
\xF0\x9F\x92\xA6,SPLASHING SWEAT SYMBOL
\xF0\x9F\x92\xA1,ELECTRIC LIGHT BULB
\xF0\x9F\x90\xA9,POODLE
\xF0\x9F\x92\xA3,BOMB
\xF0\x9F\x8F\x88,AMERICAN FOOTBALL
\xF0\x9F\x9A\x96,ONCOMING TAXI
\xF0\x9F\x9A\x97,AUTOMOBILE
\xF0\x9F\x9A\x94,ONCOMING POLICE CAR
\xF0\x9F\x9A\x95,TAXI
\xF0\x9F\x9A\x92,FIRE ENGINE
\xF0\x9F\x9A\x93,POLICE CAR
\xF0\x9F\x9A\x90,MINIBUS
\xF0\x9F\x9A\x91,AMBULANCE
\xF0\x9F\x94\x98,RADIO BUTTON
\xF0\x9F\x9A\x98,ONCOMING AUTOMOBILE
\xF0\x9F\x9A\x99,RECREATIONAL VEHICLE
\xF0\x9F\x94\x97,LINK SYMBOL
\xF0\x9F\x8F\x84,SURFER
\xF0\x9F\x88\x82,SQUARED KATAKANA SA
\xF0\x9F\x88\x81,SQUARED KATAKANA KOKO
\xF0\x9F\x94\x94,BELL
\xF0\x9F\x98\xBF,CRYING CAT FACE
\xF0\x9F\x98\xBD,KISSING CAT FACE WITH CLOSED EYES
\xF0\x9F\x98\xBE,POUTING CAT FACE
\xF0\x9F\x98\xBB,SMILING CAT FACE WITH HEART-SHAPED EYES
\xF0\x9F\x98\xBC,CAT FACE WITH WRY SMILE
\xF0\x9F\x98\xBA,SMILING CAT FACE WITH OPEN MOUTH
\xF0\x9F\x98\xB8,GRINNING CAT FACE WITH SMILING EYES
\xF0\x9F\x98\xB9,CAT FACE WITH TEARS OF JOY
\xF0\x9F\x98\xB6,FACE WITHOUT MOUTH
\xF0\x9F\x98\xB7,FACE WITH MEDICAL MASK
\xF0\x9F\x98\xB4,SLEEPING FACE
\xF0\x9F\x98\xB5,DIZZY FACE
\xF0\x9F\x98\xB2,ASTONISHED FACE
\xF0\x9F\x98\xB3,FLUSHED FACE
\xF0\x9F\x98\xB0,FACE WITH OPEN MOUTH AND COLD SWEAT
\xF0\x9F\x98\xB1,FACE SCREAMING IN FEAR
\xF0\x9F\x91\x96,JEANS
\xE2\x9E\xB0,CURLY LOOP
\xF0\x9F\x9A\x9F,SUSPENSION RAILWAY
\xF0\x9F\x98\xAC,GRIMACING FACE
\xF0\x9F\x9A\x9D,MONORAIL
\xF0\x9F\x91\x95,T-SHIRT
\xF0\x9F\x9A\x9B,ARTICULATED LORRY
\xF0\x9F\x9A\x9C,TRACTOR
\xF0\x9F\x9A\x9A,DELIVERY TRUCK
\xF0\x9F\x91\x92,WOMANS HAT
\xF0\x9F\x93\x8A,BAR CHART
\xF0\x9F\x91\x93,EYEGLASSES
\xE2\x9A\xAA,MEDIUM WHITE CIRCLE
\xE2\x9A\xAB,MEDIUM BLACK CIRCLE
\xF0\x9F\x92\x8F,KISS
\xF0\x9F\x92\x93,BEATING HEART
\xF0\x9F\x98\x8E,SMILING FACE WITH SUNGLASSES
\xF0\x9F\x91\x91,CROWN
\xF0\x9F\x95\xA0,CLOCK FACE FIVE-THIRTY
\xF0\x9F\x93\x8F,STRAIGHT RULER
\xF0\x9F\x98\x93,FACE WITH COLD SWEAT
\xF0\x9F\x98\x92,UNAMUSED FACE
\xF0\x9F\x98\x91,EXPRESSIONLESS FACE
\xE2\x9D\x8E,NEGATIVE SQUARED CROSS MARK
\xF0\x9F\x8D\x98,RICE CRACKER
\xF0\x9F\x98\x96,CONFOUNDED FACE
\xF0\x9F\x98\x95,CONFUSED FACE
\xF0\x9F\x98\x94,PENSIVE FACE
\xF0\x9F\x8D\x94,HAMBURGER
\xF0\x9F\x8D\x95,SLICE OF PIZZA
\xE2\x98\x80,BLACK SUN WITH RAYS
\xF0\x9F\x98\x98,FACE THROWING A KISS
\xF0\x9F\x8D\x90,PEAR
\xF0\x9F\x8D\x91,PEACH
\xF0\x9F\x8D\x92,CHERRIES
\xF0\x9F\x8D\x93,STRAWBERRY
\xF0\x9F\x9A\xAE,PUT LITTER IN ITS PLACE SYMBOL
\xF0\x9F\x93\xB5,NO MOBILE PHONES
\xF0\x9F\x98\xAE,FACE WITH OPEN MOUTH
\xF0\x9F\x93\xB4,MOBILE PHONE OFF
\xF0\x9F\x87\xAF\xF0\x9F\x87\xB5,REGIONAL INDICATOR SYMBOL LETTER J + REGIONAL INDICATOR SYMBOL LETTER P
\xF0\x9F\x8F\xA1,HOUSE WITH GARDEN
\xF0\x9F\x93\xB7,CAMERA
\xF0\x9F\x8C\x93,FIRST QUARTER MOON SYMBOL
\xF0\x9F\x8C\x92,WAXING CRESCENT MOON SYMBOL
\xF0\x9F\x8C\x91,NEW MOON SYMBOL
\xF0\x9F\x91\x99,BIKINI
\xF0\x9F\x8C\x97,LAST QUARTER MOON SYMBOL
\xF0\x9F\x8C\x96,WANING GIBBOUS MOON SYMBOL
\xF0\x9F\x8C\x95,FULL MOON SYMBOL
\xF0\x9F\x8C\x94,WAXING GIBBOUS MOON SYMBOL
\xF0\x9F\x8C\x9C,LAST QUARTER MOON WITH FACE
\xF0\x9F\x8C\x9B,FIRST QUARTER MOON WITH FACE
\xF0\x9F\x8C\x9A,NEW MOON WITH FACE
\xF0\x9F\x8F\xA5,HOSPITAL
\xF0\x9F\x8C\x9F,GLOWING STAR
\xF0\x9F\x94\xB8,SMALL ORANGE DIAMOND
\xF0\x9F\x8C\x9D,FULL MOON WITH FACE
\xF0\x9F\x8C\x80,CYCLONE
\xE2\x96\xB6,BLACK RIGHT-POINTING TRIANGLE
\xF0\x9F\x8C\x81,FOGGY
\xF0\x9F\x8D\x86,AUBERGINE
\xF0\x9F\x8F\xA8,HOTEL
\xF0\x9F\x98\x9C,FACE WITH STUCK-OUT TONGUE AND WINKING EYE
\xE2\x9D\x87,SPARKLE
\xE2\x9D\x84,SNOWFLAKE
\xF0\x9F\x8F\xA9,LOVE HOTEL
\xF0\x9F\x98\x9F,WORRIED FACE
\xF0\x9F\x98\x9E,DISAPPOINTED FACE
\xF0\x9F\x98\x9D,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES
\xF0\x9F\x8D\x9D,SPAGHETTI
\xF0\x9F\x8D\x9E,BREAD
\xF0\x9F\x8D\x9F,FRENCH FRIES
\xF0\x9F\x8D\x9A,COOKED RICE
\xF0\x9F\x8D\x9B,CURRY AND RICE
\xE2\x98\x8E,BLACK TELEPHONE
\xE2\x9A\xA0,WARNING SIGN
\xE2\x9A\xA1,HIGH VOLTAGE SIGN
\xF0\x9F\x87\xBA\xF0\x9F\x87\xB8,REGIONAL INDICATOR SYMBOL LETTER U + REGIONAL INDICATOR SYMBOL LETTER S
\xE2\x98\xBA,WHITE SMILING FACE
\xF0\x9F\x93\xA1,SATELLITE ANTENNA
\xF0\x9F\x92\x95,TWO HEARTS
\xF0\x9F\x92\x94,BROKEN HEART
\xE2\x9B\xAA,CHURCH
\xF0\x9F\x92\x96,SPARKLING HEART
\xF0\x9F\x92\x91,COUPLE WITH HEART
\xF0\x9F\x92\x90,BOUQUET
\xF0\x9F\x8D\x84,MUSHROOM
\xF0\x9F\x92\x92,WEDDING
\xE2\x93\x82,CIRCLED LATIN CAPITAL LETTER M
\xF0\x9F\x92\x99,BLUE HEART
\xF0\x9F\x92\x98,HEART WITH ARROW
\xF0\x9F\x93\xA2,PUBLIC ADDRESS LOUDSPEAKER
\xE2\x9A\xBE,BASEBALL
\xE2\xA4\xB5,ARROW POINTING RIGHTWARDS THEN CURVING DOWNWARDS
\xF0\x9F\x92\xB4,BANKNOTE WITH YEN SIGN
\xF0\x9F\x92\xB5,BANKNOTE WITH DOLLAR SIGN
\xF0\x9F\x92\xB6,BANKNOTE WITH EURO SIGN
\xF0\x9F\x92\xB7,BANKNOTE WITH POUND SIGN
\xF0\x9F\x92\xB0,MONEY BAG
\xF0\x9F\x92\xB1,CURRENCY EXCHANGE
\xF0\x9F\x92\xB2,HEAVY DOLLAR SIGN
\x23\xE2\x83\xA3,NUMBER SIGN + COMBINING ENCLOSING KEYCAP
\xF0\x9F\x92\xB8,MONEY WITH WINGS
\xF0\x9F\x91\x9D,POUCH
\xF0\x9F\x92\xBD,MINIDISC
\xF0\x9F\x92\xBE,FLOPPY DISK
\xF0\x9F\x92\xBF,OPTICAL DISC
\xF0\x9F\x8E\xB3,BOWLING
\xF0\x9F\x92\xBA,SEAT
\xF0\x9F\x92\xBB,PERSONAL COMPUTER
\xF0\x9F\x92\xBC,BRIEFCASE
\xF0\x9F\x92\xB3,CREDIT CARD
\x36\xE2\x83\xA3,DIGIT SIX + COMBINING ENCLOSING KEYCAP
\xF0\x9F\x94\xB9,SMALL BLUE DIAMOND
\xF0\x9F\x95\xA6,CLOCK FACE ELEVEN-THIRTY
